GTCBSA,HEHOUSUT,HETENURE,HEFAMINC,PEEDUCA,PEMLR,PESEX,PEMARITL,PWCMPWGT,HRNUMHOU,PWFMWGT,PWLGWGT,PWORWGT,PWSSWGT,Year,Month
22220,1,1,8,43,1,1,1,1972.5166,3,1343.2859,2707.8326,0.0000,1914.7019,2010,jan
0,1,2,14,-1,-1,1,-1,0.0000,2,306.7726,0.0000,0.0000,306.7726,2011,jan
11700,1,1,8,39,5,2,1,3212.6708,2,3256.1228,4701.8348,0.0000,3256.1228,2017,jan
15380,1,1,14,40,4,1,1,2929.7346,2,2703.2650,4057.5782,12771.5774,2874.9950,2012,jan
16740,1,2,4,37,6,2,3,3146.1020,3,3177.9804,0.0000,0.0000,3177.9804,2015,jan
0,1,1,5,39,5,1,4,1354.4964,1,1323.3347,1912.3007,5476.9103,1323.3347,2020,jan
38300,1,1,11,39,1,1,1,3371.4671,2,3083.1657,4808.9666,0.0000,3407.2991,2014,jan
0,1,2,3,34,6,2,3,976.3234,2,976.6660,1448.6682,4031.5656,976.6660,2023,jan
41740,1,1,14,37,7,2,6,3482.3769,4,3557.9380,5137.6554,0.0000,3557.9380,2017,jan
0,1,2,3,-1,-1,1,-1,0.0000,4,1574.0098,0.0000,0.0000,1574.0098,2012,jan
34060,1,1,16,45,1,2,1,792.5171,3,779.9665,1130.2043,3224.7084,779.9665,2019,jan
39380,1,1,12,37,7,2,1,1671.2513,7,1689.8577,0.0000,0.0000,1689.8577,2010,jan
29340,1,1,14,46,5,1,1,3454.5681,2,4403.6295,4978.3131,0.0000,3527.3813,2012,jan
0,1,2,13,44,1,2,6,1112.5044,2,1118.1740,1613.6548,0.0000,1118.1740,2020,jan
17820,1,1,15,39,1,1,1,3822.2533,4,4168.4969,0.0000,14948.9663,3776.3825,2020,jan
0,1,1,12,44,7,1,6,480.2735,2,483.7435,0.0000,0.0000,483.7435,2019,jan
33860,1,1,13,41,5,1,4,1938.4407,3,1810.2463,0.0000,0.0000,1810.2463,2023,jan
22220,1,1,10,39,1,2,1,1933.2533,2,1875.5414,0.0000,7686.0352,1875.5414,2013,jan
